"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","1:00","1:00","0.09","10:54","--","102","129","3","2","--","--","--","--","118","--","--","0.78","--","--","3","28.0","5:26","242","0:56","10:10"
"2","0:45","1:45","0.01","0","--","122","127","0","2","--","--","--","--","26","--","--","0.54","--","--","4","28.0","10:05","129","0:13","20:16"
"3","1:00","2:45","0.09","11:24","--","123","131","0","8","--","--","--","--","116","--","--","0.76","--","--","5","28.0","6:43","184","0:49","9:18"
"4","0:45","3:30","0.02","37:07","--","122","128","0","5","--","--","--","--","47","--","--","0.57","--","--","4","28.0","9:33","132","0:10","8:15"
"5","1:00","4:30","0.08","12:09","--","110","116","0","8","--","--","--","--","107","--","--","0.77","--","--","4","28.0","8:19","131","0:48","9:43"
"6","0:45","5:15","0.02","37:07","--","105","110","0","1","--","--","--","--","42","--","--","0.65","--","--","2","28.0","10:05","129","0:10","8:15"
"7","1:00","6:15","0.09","11:18","--","103","107","0","18","--","--","--","--","114","--","--","0.77","--","--","3","28.0","9:15","135","0:53","9:59"
"8","0:45","7:00","0.07","10:45","--","112","129","5","8","--","--","--","--","141","--","--","0.66","--","--","3","28.0","8:03","178","0:38","9:05"
"9","1:00","8:00","0.11","9:29","--","134","139","18","0","--","--","--","--","139","--","--","0.76","--","--","6","28.0","7:44","157","1:00","9:29"
"10","0:45","8:45","0.03","24:41","--","135","155","7","0","--","--","--","--","63","--","--","0.64","--","--","5","28.0","9:01","166","0:19","10:26"
"11","1:00","9:45","0.11","9:28","--","126","135","6","0","--","--","--","--","136","--","--","0.78","--","--","6","28.0","7:32","161","1:00","9:28"
"12","0:45","10:30","0.06","12:31","--","131","144","1","1","--","--","--","--","114","--","--","0.70","--","--","4","28.0","8:21","163","0:31","8:37"
"13","1:00","11:30","0.09","11:29","--","131","141","4","0","--","--","--","--","119","--","--","0.73","--","--","6","28.0","8:03","148","0:56","10:43"
"14","0:45","12:15","0.02","40:21","--","124","130","0","0","--","--","--","--","36","--","--","0.68","--","--","4","27.6","9:33","133","0:09","8:04"
"15","1:00","13:15","0.09","11:04","--","113","119","12","0","--","--","--","--","117","--","--","0.77","--","--","4","27.0","8:19","147","0:56","10:19"
"16","0:45","14:00","0.02","44:41","--","104","107","2","0","--","--","--","--","48","--","--","0.46","--","--","2","27.0","9:15","141","0:06","5:57"
"17","1:00","15:00","0.10","10:00","--","104","130","6","0","--","--","--","--","130","--","--","0.77","--","--","2","27.0","7:40","155","0:59","9:49"
"18","0:45","15:45","0.02","30:48","--","133","148","1","0","--","--","--","--","47","--","--","0.69","--","--","4","27.0","7:44","151","0:11","7:32"
"19","1:00","16:45","0.10","10:08","--","123","134","3","0","--","--","--","--","130","--","--","0.76","--","--","5","27.0","6:40","157","0:56","9:27"
"20","0:45","17:30","0.04","17:48","--","132","140","1","0","--","--","--","--","87","--","--","0.64","--","--","4","27.0","9:33","158","0:20","7:55"
"21","1:00","18:30","0.10","9:41","--","138","147","2","0","--","--","--","--","143","--","--","0.72","--","--","6","27.0","7:56","163","1:00","9:41"
"22","0:45","19:15","0.01","0","--","133","151","0","0","--","--","--","--","17","--","--","0.76","--","--","5","27.0","9:18","159","0:03","5:15"
"23","1:00","20:15","0.10","9:59","--","120","127","1","0","--","--","--","--","127","--","--","0.79","--","--","4","27.0","7:38","144","1:00","9:59"
"24","0:45","21:00","0.08","9:35","--","136","147","0","0","--","--","--","--","149","--","--","0.70","--","--","4","27.0","8:26","159","0:45","9:35"
"25","6:22.0","27:22","0.02","0","--","104","141","0","0","--","--","--","--","5","--","--","0.61","--","--","18","26.8","9:59","144","0:46","38:26"
"Summary","27:22","27:22","1.56","17:32","","117","155","72","53","","","","","78","","","0.69","","","117","27.4","5:26","242","15:34","9:58"
