"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Avg Temperature","Moving Time","Avg Moving Speed"
"1","23:07","23:07","0","0","130","170","0","0","141","29.0","0","--"
"Summary","23:07","23:07","0","0","130","170","0","0","141","29.0","0","0"
