"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","1:00","1:00","0.06","17:53","--","100","152","14","0","--","--","--","--","66","--","--","0.85","--","--","3","30.0","6:52","157","0:30","8:56"
"2","0:45","1:45","0.02","45:47","--","141","151","9","0","--","--","--","--","23","--","--","0.95","--","--","6","30.0","7:05","154","0:06","6:06"
"3","1:00","2:45","0.16","6:25","--","133","173","8","0","--","--","--","--","161","--","--","0.97","--","--","5","30.0","4:45","172","1:00","6:25"
"4","0:45","3:30","0.01","0","--","160","169","0","0","--","--","--","--","11","--","--","1.20","--","--","6","29.8","4:53","172","0:02","3:15"
"5","1:00","4:30","0.17","5:44","--","160","181","0","42","--","--","--","--","160","--","--","1.09","--","--","8","29.0","4:18","179","0:57","5:27"
"6","0:45","5:15","0.02","45:03","--","172","178","0","3","--","--","--","--","16","--","--","1.38","--","--","7","29.0","4:18","183","0:04","4:00"
"7","1:00","6:15","0.14","7:21","--","159","169","0","53","--","--","--","--","145","--","--","0.94","--","--","8","29.0","5:40","167","0:56","6:52"
"8","0:45","7:00","0.01","53:46","--","158","160","0","16","--","--","--","--","27","--","--","0.69","--","--","6","29.0","6:21","157","0:06","7:11"
"9","1:00","8:00","0.17","6:03","--","169","182","0","26","--","--","--","--","155","--","--","1.07","--","--","9","29.0","4:21","184","0:55","5:33"
"10","0:45","8:45","0.01","0","--","176","183","0","0","--","--","--","--","12","--","--","0.89","--","--","7","29.0","7:21","176","0:03","6:28"
"11","1:00","9:45","0.16","6:12","--","173","182","0","18","--","--","--","--","149","--","--","1.08","--","--","9","29.0","4:30","180","0:52","5:22"
"12","0:45","10:30","0.02","37:48","--","177","184","0","2","--","--","--","--","30","--","--","0.88","--","--","7","28.4","5:03","176","0:05","4:12"
"13","1:00","11:30","0.14","7:08","--","162","172","0","4","--","--","--","--","148","--","--","0.94","--","--","9","28.0","5:14","177","0:55","6:33"
"14","0:45","12:15","0.01","0","--","165","169","0","0","--","--","--","--","16","--","--","0.87","--","--","6","28.0","6:02","167","0:03","4:44"
"15","1:00","13:15","0.17","6:02","--","171","196","0","1","--","--","--","--","139","--","--","1.19","--","--","9","28.0","3:19","197","0:40","4:01"
"16","0:45","14:00","0","0","--","177","187","0","0","--","--","--","--","0","--","--","--","--","--","7","28.0","0","0","0","--"
"17","3:11.5","17:12","0","0","--","106","163","0","0","--","--","--","--","0","--","--","--","--","--","7","28.0","0","0","0","--"
"Summary","17:12","17:12","1.25","13:45","","149","196","31","165","","","","","92","","","1.00","","","119","28.8","3:19","197","7:14","5:47"
